t, r_obox_x, r_obox_y, r_obox_phi
2.130000144243240356e-01, 1.760240131432055932e-08, 1.999952346086502075e-01, -2.383003483430456981e-08
2.140000164508819580e-01, 1.760236045811325312e-08, 1.999952346086502075e-01, -2.382892283492310526e-08
2.150000035762786865e-01, 1.760229295655335591e-08, 1.999952346086502075e-01, -2.382824781932413316e-08
2.160000056028366089e-01, 1.760222900770713750e-08, 1.999952346086502075e-01, -2.382800801115081413e-08
2.170000076293945312e-01, 1.760215617707672209e-08, 1.999952346086502075e-01, -2.382773800491122529e-08
2.180000096559524536e-01, 1.760207624101894908e-08, 1.999952346086502075e-01, -2.382743957696220605e-08
2.190000116825103760e-01, 1.760199097589065786e-08, 1.999952346086502075e-01, -2.382711095094691700e-08
2.200000137090682983e-01, 1.760190038169184845e-08, 1.999952346086502075e-01, -2.382675212686535815e-08
2.210000157356262207e-01, 1.760180445842252084e-08, 1.999952346086502075e-01, -2.382636310471752950e-08
2.220000177621841431e-01, 1.760170320608267502e-08, 1.999952346086502075e-01, -2.382594388450343104e-08
2.230000048875808716e-01, 1.760159484831547161e-08, 1.999952346086502075e-01, -2.382549624257990217e-08
2.240000069141387939e-01, 1.760147938512091059e-08, 1.999952346086502075e-01, -2.382501840259010351e-08
2.250000089406967163e-01, 1.760144208162728319e-08, 1.999952346086502075e-01, -2.382392771949071175e-08
2.260000109672546387e-01, 1.760137813278106478e-08, 1.999952346086502075e-01, -2.382327402017381246e-08
2.270000129938125610e-01, 1.760131773664852517e-08, 1.999952346086502075e-01, -2.382305730463940563e-08
2.280000150203704834e-01, 1.760125023508862796e-08, 1.999952346086502075e-01, -2.382281039103872899e-08
2.290000170469284058e-01, 1.760117562810137315e-08, 1.999952346086502075e-01, -2.382253327937178256e-08
2.300000041723251343e-01, 1.760109391568676074e-08, 1.999952346086502075e-01, -2.382222596963856631e-08
2.310000061988830566e-01, 1.760100687420163013e-08, 1.999952346086502075e-01, -2.382188846183908026e-08
2.320000082254409790e-01, 1.760091450364598131e-08, 1.999952346086502075e-01, -2.382152253233016381e-08
2.330000102519989014e-01, 1.760081680401981430e-08, 1.999952346086502075e-01, -2.382112640475497756e-08
2.340000122785568237e-01, 1.760071377532312908e-08, 1.999952346086502075e-01, -2.382070007911352150e-08
2.350000143051147461e-01, 1.760060364119908627e-08, 1.999952346086502075e-01, -2.382024533176263503e-08
2.360000163316726685e-01, 1.760048640164768585e-08, 1.999952346086502075e-01, -2.381976038634547876e-08
2.370000183582305908e-01, 1.760036383302576724e-08, 1.999952346086502075e-01, -2.381924524286205269e-08
2.380000054836273193e-01, 1.760031942410478223e-08, 1.999952346086502075e-01, -2.381811903262587293e-08
2.390000075101852417e-01, 1.760024836983120622e-08, 1.999952346086502075e-01, -2.381742802981534624e-08
